"Campo","Descrição"
"Instituição",Número sequencial"
"Segmento","Descrição do Segmento a que pertence a instituição"
"iGovTI2014","Índice de Governança de TI da instituição em 2014"
"11_a","a. a organização define e comunica formalmente papéis e responsabilidades para a governança corporativa."
"11_b","b. a organização dispõe de um comitê de direção estratégica formalmente instituído, que auxilia nas decisões relativas às diretrizes, estratégias, políticas e no acompanhamento da gestão institucional."
"11_c","c. a organização realiza avaliações sobre a definição e compreensão dos papéis e responsabilidades organizacionais."
"11_d","d. a organização dispõe de um código de ética, formalmente instituído, bem como divulga e monitora o seu cumprimento."
"11_e","e. a organização dispõe de uma política corporativa de gestão de riscos formalmente instituída, como norma de cumprimento obrigatório."
"11_f","f. a organização dispõe de uma política corporativa de gestão de continuidade do negócio formalmente instituída, como norma de cumprimento obrigatório."
"12_a","a. a organização define e comunica formalmente papéis e responsabilidades mais relevantes para a governança e gestão de TI."
"12_b","b. a organização dispõe de um comitê de TI formalmente instituído, composto por representantes de áreas relevantes da organização."
"12_c","c. o comitê de TI realiza as atividades previstas em seu ato constitutivo."
"12_d","d. a organização prioriza as ações de TI com apoio do comitê de TI (ou colegiado equivalente), que atua como instância consultiva da alta administração."
"13_a","a. a organização define formalmente diretrizes para o planejamento de TI."
"13_b","b. a organização define formalmente diretrizes para gestão do portfólio de projetos e serviços de TI, inclusive para definição de critérios de priorização e de alocação orçamentária."
"13_c","c. a organização define formalmente diretrizes para contratação de bens e serviços de TI."
"13_d","d. a organização define formalmente diretrizes para avaliação do desempenho dos serviços de TI."
"14_a","a. a organização define formalmente as diretrizes para gestão dos riscos de TI aos quais o negócio está exposto."
"14_b","b. a organização define e comunica formalmente papéis e responsabilidades pela gestão de riscos de TI."
"14_c","c. a organização define formalmente os níveis de risco de TI aceitáveis na consecução de seus objetivos (apetite a risco)."
"14_d","d. a organização toma decisões estratégicas considerando os níveis de risco de TI definidos."
"15_a","a. a organização define formalmente diretrizes para garantir o desenvolvimento de competências e a retenção de gestores de TI."
"15_b","b. a organização define formalmente diretrizes para garantir o desenvolvimento de competências e a retenção de pessoal técnico de TI."
"15_c","c. a organização define formalmente diretrizes para avaliação e incentivo ao desempenho de gestores de TI."
"15_d","d. a organização define formalmente diretrizes para avaliação e incentivo ao desempenho de pessoal técnico de TI."
"15_e","e. a organização define formalmente diretrizes para escolha dos líderes da área de TI, ocupantes dos cargos de chefia e de assessoramento."
"16_a","a. a organização define formalmente diretrizes para comunicação com as partes interessadas (público interno e externo) sobre os resultados da gestão e do uso de TI, contemplando o meio de divulgação, o conteúdo, a frequência e o formato das comunicações."
"17_a","a. a organização define formalmente diretrizes para avaliação da governança e da gestão de TI."
"17_b","b. a organização realiza avaliação periódica de governança e de gestão de TI."
"17_c","c. a organização realiza avaliação periódica de sistemas de informação."
"17_d","d. a organização realiza avaliação periódica de segurança da informação."
"17_e","e. a organização realiza avaliação periódica de contratos de TI."
"18_a","a. a auditoria interna possui pessoal capacitado para avaliar a governança e a gestão de TI."
"18_b","b. a auditoria interna monitora as ações de governança e de gestão de TI."
"18_c","c. a organização aprova, de forma periódica, plano de auditoria que inclua avaliação da governança e da gestão de TI."
"18_d","d. a auditoria interna avalia a gestão de riscos de TI."
"18_e","e. a auditoria interna avalia os riscos considerados críticos para o negócio e a eficácia dos respectivos controles."
"18_f","f. a auditoria interna avalia as respostas apresentadas aos questionários dos Levantamentos de Governança de TI realizados pelo TCU."
"21_a","a. a organização executa periodicamente processo de planejamento estratégico institucional."
"21_b","b. o processo de planejamento estratégico institucional prevê a participação das áreas mais relevantes da organização."
"21_c","c. o processo de planejamento estratégico institucional prevê a participação da área de TI."
"21_d","d. o processo de planejamento estratégico institucional está formalmente instituído, como norma de cumprimento obrigatório."
"21_e","e. a organização possui plano estratégico institucional vigente, formalmente instituído pelo seu dirigente máximo."
"21_f","f. o plano estratégico institucional vigente contém pelo menos um indicador de resultado para quantificar o cumprimento de cada objetivo estratégico estabelecido."
"21_g","g. o plano estratégico institucional vigente contém metas de curto, médio e longo prazos, associadas aos indicadores de resultado."
"21_h","h. o plano estratégico institucional vigente estabelece os projetos e ações considerados necessários e suficientes para o alcance das metas fixadas."
"21_i","i. a execução do plano estratégico institucional vigente é acompanhada periodicamente quanto ao alcance das metas estabelecidas, para correção de desvios."
"21_j","j. o plano estratégico institucional vigente está publicado na internet para acesso livre."
"22_a","a. a organização executa periodicamente processo de planejamento de TI."
"22_b","b. o processo de planejamento de TI prevê a participação das áreas mais relevantes da organização."
"22_c","c. o processo de planejamento de TI prevê o apoio do comitê de TI."
"22_d","d. o processo de planejamento de TI está formalmente instituído, como norma de cumprimento obrigatório."
"22_e","e. a organização possui plano de TI vigente, formalmente instituído pelo seu dirigente máximo."
"22_f","f. o plano de TI vigente contempla objetivos, indicadores e metas para a TI, com os objetivos explicitamente alinhados aos objetivos de negócio constantes do plano estratégico institucional."
"22_g","g. o plano de TI vigente contém alocação de recursos (orçamentários, humanos e materiais) e estratégia de execução indireta (terceirização)."
"22_h","h. a execução do plano de TI vigente é acompanhada periodicamente quanto ao alcance das metas estabelecidas, para correção de desvios."
"22_i","i. o plano de TI vigente vincula as ações (atividades e projetos) a indicadores e metas de negócio."
"22_j","j. o plano de TI vigente fundamenta a proposta orçamentária de TI."
"31_a","a. a organização identifica e mapeia os principais processos de negócio."
"31_b","b. os principais processos de negócio da organização são suportados por sistemas informatizados."
"31_c","c. há catálogo publicado com informações atualizadas de cada um dos sistemas informatizados."
"31_d","d. a organização designa formalmente responsáveis da área de negócio para a gestão dos respectivos sistemas informatizados."
"32_a","a. os planos de TI vigentes são divulgados na internet, sendo facilmente acessados."
"32_b","b. as informações sobre o alcance dos objetivos de TI planejados são divulgados na internet, sendo facilmente acessadas."
"32_c","c. as informações sobre o acompanhamento das ações e dos projetos de TI são divulgadas na internet, sendo facilmente acessadas."
"32_d","d. os editais, seus respectivos anexos e os resultados das licitações de TI (inteiro teor) são divulgados na internet, sendo facilmente acessados."
